id_product;sku;name;price;description;description_short
793;0573;риза;25.564594;;"<table width=""330"" style=""height:57px;"">
<tbody>
<tr>
<td>Размери см</td>
<td> S</td>
<td>M</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
<td>XXXL</td>
</tr>
<tr>
<td>
<p>А ширина от подмишница дo подмишница</p>
</td>
<td>49</td>
<td>51</td>
<td>53</td>
<td>55</td>
<td>58</td>
<td>62</td>
</tr>
<tr>
<td>B дължина от рамо</td>
<td>
<p></p>
<p>71</p>
<p></p>
</td>
<td>72</td>
<td>73</td>
<td>74</td>
<td>75</td>
<td>78</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D1%80%D0%B8%D0%B7%D0%B0.png"" alt="""" width=""250"" height=""250"" /></p>"
815;0594;"къси панталони";23.434211;"<p>Тъмно сини къси панталони с 3 джоба с ципове на тях,топ модел.</p>";"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>35</td>
<td>
<p>36</p>
</td>
<td>37</td>
<td>38</td>
<td>39</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>50</td>
<td>51</td>
<td>52</td>
<td>53</td>
<td>
<p>54</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
831;0608;ветровка;51.658333;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>53</td>
<td>
<p>55</p>
</td>
<td>57</td>
<td>59</td>
<td>61</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>70</td>
<td>70</td>
<td>71</td>
<td>72</td>
<td>
<p></p>
<p>73</p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p></p>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/%D1%8F%D0%BA%D0%B5.png"" alt="""" width=""350"" height=""350"" /></p>"
883;0654;"тениска с яка";26.658333;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>M</td>
<td>
<p>L</p>
</td>
<td>XL</td>
<td>XXL</td>
<td>XXXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>70</td>
<td>71</td>
<td>72</td>
<td>74</td>
<td>
<p>76</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
898;0669;"тениска с яка";26.658333;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>M</td>
<td>
<p>L</p>
</td>
<td>XL</td>
<td>XXL</td>
<td>XXXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>68</td>
<td>69</td>
<td>70</td>
<td>72</td>
<td>
<p>74</p>
</td>
</tr>
</tbody>
</table>
<p></p>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
923;0694;"къси панталони";23.434211;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>36</td>
<td>
<p>38</p>
</td>
<td>40</td>
<td>42</td>
<td>44</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>48</td>
<td>49</td>
<td>50</td>
<td>51</td>
<td>
<p>53</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
924;0696;"къси панталони";23.434211;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>34</td>
<td>
<p>36</p>
</td>
<td>38</td>
<td>40</td>
<td>42</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>48</td>
<td>49</td>
<td>50</td>
<td>51</td>
<td>
<p>52</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>"
942;0713;"къси панталони";23.434211;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td>L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td><span style=""color:#d0121a;"">A</span>ширина-талия(неразпънато положение)</td>
<td>36</td>
<td>
<p>38</p>
</td>
<td>40</td>
<td>42</td>
<td>44</td>
</tr>
<tr>
<td>
<p><span style=""color:#d0121a;"">B</span>дължина</p>
</td>
<td>48</td>
<td>49</td>
<td>50</td>
<td>51</td>
<td>
<p>53</p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/%D0%BA%D1%8A%D1%81%D0%B8%20%D0%B3%D0%B0%D1%89%D0%B8.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
1021;0786;тениска;16.616986;;"<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>
<p></p>
</td>
</tr>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>50</td>
<td>
<p>52</p>
</td>
<td>54</td>
<td>56</td>
<td>58</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>66</td>
<td>68</td>
<td>70</td>
<td>72</td>
<td>
<p></p>
<p></p>
<p>74</p>
<p></p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>"
1029;0793;блуза;22.582058;;"<p></p>
<table width=""325"" style=""height:117px;"">
<tbody>
<tr>
<td>Размери см</td>
<td>S</td>
<td>
<p>M</p>
</td>
<td> L</td>
<td>XL</td>
<td>XXL</td>
</tr>
<tr>
<td>А ширина от подмишница до подмишница</td>
<td>49</td>
<td>
<p>51</p>
</td>
<td>53</td>
<td>55</td>
<td>57</td>
</tr>
<tr>
<td>
<p>B дължина от рамо</p>
<p></p>
</td>
<td>67</td>
<td>69</td>
<td>71</td>
<td>73</td>
<td>
<p></p>
<p></p>
<p>75</p>
<p></p>
<p></p>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://topstyle.bg/img/cms/0-02-0a-ad9ff39085c8f321ff0ff8578742904ac832995b981c464ce9a446b976036823_38cdbc29.png"" alt="""" width=""350"" height=""350"" /></p>
<p></p>"
