id_product;id_product_attribute;variant_sku;quantity;attributes
1125;4912;;0;"Цвят: черен | Размер: S"
1125;4913;;0;"Размер: М | Цвят: черен"
1125;4914;;0;"Размер: L | Цвят: черен"
1125;4915;;0;"Цвят: черен | Размер: XL"
1125;4916;;0;"Цвят: черен | Размер: 2XL"
1130;4940;;0;"Размер: S | Цвят: бял"
1130;4941;;0;"Размер: М | Цвят: бял"
1130;4942;;0;"Цвят: бял | Размер: L"
1130;4943;;0;"Размер: XL | Цвят: бял"
1130;4944;;3;"Цвят: бял | Размер: 2XL"
1130;5176;;0;"Цвят: бял | Размер: 3XL"
1130;5177;;0;"Размер: 4XL | Цвят: бял"
1130;5178;;0;"Размер: 5XL | Цвят: бял"
1130;5179;;0;"Размер: 6XL | Цвят: бял"
1144;5018;;0;"Цвят: син | Размер: 3XL"
1153;5039;;0;"Размер: S | Цвят: бял"
1153;5040;;0;"Цвят: бял | Размер: М"
1153;5041;;0;"Размер: L | Цвят: бял"
1153;5042;;0;"Размер: XL | Цвят: бял"
1153;5043;;1;"Цвят: бял | Размер: 2XL"
1154;5049;;0;"Размер: М | Цвят: бял"
1154;5050;;0;"Размер: L | Цвят: бял"
1154;5051;;0;"Цвят: бял | Размер: XL"
1154;5052;;0;"Размер: 2XL | Цвят: бял"
1154;5053;;0;"Цвят: бял | Размер: 3XL"
1169;5098;;0;"Размер: 3XL | Цвят: черен"
1169;5099;;0;"Цвят: черен | Размер: 4XL"
1169;5100;;0;"Размер: 5XL | Цвят: черен"
1169;5101;;0;"Цвят: черен | Размер: 6XL"
1178;5119;;0;"Размер: S | Цвят: бял"
1178;5120;;0;"Цвят: бял | Размер: М"
1178;5121;;0;"Размер: L | Цвят: бял"
1178;5122;;0;"Размер: XL | Цвят: бял"
1178;5123;;0;"Размер: 2XL | Цвят: бял"
1207;5315;;0;"Размер: S | Цвят: бял"
1207;5316;;0;"Цвят: бял | Размер: М"
1207;5317;;0;"Размер: L | Цвят: бял"
1207;5318;;0;"Размер: XL | Цвят: бял"
1207;5319;;1;"Цвят: бял | Размер: 2XL"
1232;5455;;0;"Размер: М | Цвят: бял"
1232;5456;;0;"Цвят: бял | Размер: L"
1232;5457;;0;"Цвят: бял | Размер: XL"
1232;5458;;0;"Цвят: бял | Размер: 2XL"
1232;5459;;0;"Размер: 3XL | Цвят: бял"
1233;5460;;0;"Размер: М"
1233;5461;;0;"Размер: L"
1233;5462;;0;"Размер: XL"
1233;5463;;0;"Размер: 2XL"
1233;5464;;0;"Размер: 3XL"
1236;5606;;0;"Цвят: бял | Размер: 3XL"
1246;5580;;2;"Цвят: бял | Размер: 2XL"
1246;5581;;0;"Цвят: бял | Размер: 3XL"
1247;5582;;0;"Цвят: черен | Размер: М"
1247;5583;;0;"Размер: L | Цвят: черен"
1247;5584;;0;"Размер: XL | Цвят: черен"
1247;5585;;0;"Размер: 2XL | Цвят: черен"
1247;5586;;0;"Размер: 3XL | Цвят: черен"
1250;5525;;0;"Размер: S | Цвят: бял"
1250;5526;;0;"Размер: М | Цвят: бял"
1250;5527;;0;"Цвят: бял | Размер: L"
1250;5528;;0;"Цвят: бял | Размер: XL"
1250;5529;;0;"Цвят: бял | Размер: 2XL"
1274;5651;;0;"Размер: S | Цвят: бял"
1274;5652;;0;"Размер: М | Цвят: бял"
1274;5653;;0;"Цвят: бял | Размер: L"
1274;5654;;0;"Размер: XL | Цвят: бял"
1274;5655;;0;"Размер: 2XL | Цвят: бял"
1280;5682;;0;"Размер: 3XL | Цвят: бял"
1291;5708;;0;"Цвят: черен | Размер: S"
1291;5709;;0;"Цвят: черен | Размер: М"
1291;5710;;0;"Цвят: черен | Размер: L"
1291;5711;;0;"Размер: XL | Цвят: черен"
1291;5712;;0;"Размер: 2XL | Цвят: черен"
1293;5739;;0;"Цвят: бял | Размер: М"
1293;5740;;0;"Размер: L | Цвят: бял"
1293;5741;;0;"Размер: XL | Цвят: бял"
1293;5742;;1;"Размер: 2XL | Цвят: бял"
1295;5748;;0;"Размер: М | Цвят: бял"
1295;5749;;0;"Цвят: бял | Размер: L"
1295;5750;;0;"Цвят: бял | Размер: XL"
1295;5751;;0;"Цвят: бял | Размер: 2XL"
1295;5752;;1;"Размер: 3XL | Цвят: бял"
1297;5758;;0;"Цвят: бял | Размер: S"
1297;5759;;0;"Размер: М | Цвят: бял"
1297;5760;;0;"Размер: L | Цвят: бял"
1297;5761;;0;"Цвят: бял | Размер: XL"
1297;5762;;1;"Цвят: бял | Размер: 2XL"
1298;5763;;0;"Размер: S | Цвят: черен"
1298;5764;;0;"Размер: М | Цвят: черен"
1298;5765;;0;"Размер: L | Цвят: черен"
1298;5766;;0;"Цвят: черен | Размер: XL"
1298;5767;;0;"Цвят: черен | Размер: 2XL"
1299;5768;;0;"Размер: S | Цвят: черен"
1299;5769;;0;"Размер: М | Цвят: черен"
1299;5770;;0;"Цвят: черен | Размер: L"
1299;5771;;0;"Цвят: черен | Размер: XL"
1299;5772;;0;"Цвят: черен | Размер: 2XL"
1308;5813;;0;"Размер: S"
1308;5814;;0;"Размер: М"
1308;5815;;0;"Размер: L"
1308;5816;;0;"Размер: XL"
1308;5817;;0;"Размер: 2XL"
1313;5835;;0;"Цвят: бял | Размер: S"
1313;5836;;0;"Цвят: бял | Размер: М"
1313;5837;;0;"Размер: L | Цвят: бял"
1313;5838;;0;"Размер: XL | Цвят: бял"
1313;5839;;1;"Размер: 2XL | Цвят: бял"
1318;5860;;0;"Размер: S | Цвят: черен"
1318;5861;;0;"Цвят: черен | Размер: М"
1318;5862;;0;"Цвят: черен | Размер: L"
1318;5863;;0;"Размер: XL | Цвят: черен"
1318;5864;;0;"Размер: 2XL | Цвят: черен"
1322;5882;;0;"Размер: S"
1322;5883;;0;"Размер: М"
1322;5884;;0;"Размер: L"
1322;5885;;0;"Размер: XL"
1322;5886;;0;"Размер: 2XL"
1335;5939;;0;"Цвят: черен | Размер: S"
1335;5940;;0;"Размер: М | Цвят: черен"
1335;5941;;0;"Размер: L | Цвят: черен"
1335;5942;;0;"Размер: XL | Цвят: черен"
1335;5943;;0;"Цвят: черен | Размер: 2XL"
1352;6010;;0;"Цвят: бял | Размер: S"
1352;6011;;0;"Цвят: бял | Размер: М"
1352;6012;;0;"Цвят: бял | Размер: L"
1352;6013;;0;"Цвят: бял | Размер: XL"
1352;6014;;0;"Цвят: бял | Размер: 2XL"
1357;6095;;0;"Размер: S"
1357;6096;;0;"Размер: М"
1357;6097;;0;"Размер: L"
1357;6098;;0;"Размер: XL"
1357;6099;;0;"Размер: 2XL"
1370;6145;;0;"Размер: S | Цвят: бял"
1370;6146;;0;"Размер: М | Цвят: бял"
1370;6147;;0;"Цвят: бял | Размер: L"
1370;6148;;0;"Цвят: бял | Размер: XL"
1370;6149;;0;"Цвят: бял | Размер: 2XL"
1383;6060;;1;"Цвят: тъмносин | Размер: S"
1394;6210;;0;"Цвят: син | Размер: S"
1394;6211;;0;"Цвят: син | Размер: М"
1394;6212;;0;"Размер: L | Цвят: син"
1394;6213;;0;"Размер: XL | Цвят: син"
1394;6214;;0;"Размер: 2XL | Цвят: син"
1402;6331;;0;"Цвят: черен | Размер: S"
1409;6280;;0;"Цвят: черен | Размер: S"
1409;6281;;0;"Цвят: черен | Размер: М"
1409;6282;;0;"Размер: L | Цвят: черен"
1409;6283;;0;"Размер: XL | Цвят: черен"
1409;6284;;0;"Размер: 2XL | Цвят: черен"
1414;6300;;0;"Размер: S | Цвят: черен"
1414;6301;;0;"Размер: М | Цвят: черен"
1414;6302;;0;"Цвят: черен | Размер: L"
1414;6303;;0;"Цвят: черен | Размер: XL"
1414;6304;;0;"Размер: 2XL | Цвят: черен"
1420;6398;;0;"Цвят: бял | Размер: S"
1420;6399;;0;"Цвят: бял | Размер: М"
1420;6400;;0;"Размер: L | Цвят: бял"
1420;6401;;0;"Размер: XL | Цвят: бял"
1420;6402;;0;"Размер: 2XL | Цвят: бял"
1433;6381;;1;"Цвят: бял | Размер: 2XL"
1445;6424;;0;"Размер: S | Цвят: бял"
1445;6425;;0;"Цвят: бял | Размер: М"
1445;6426;;0;"Цвят: бял | Размер: L"
1445;6427;;0;"Цвят: бял | Размер: XL"
1445;6428;;0;"Цвят: бял | Размер: 2XL"
1446;6429;;0;"Размер: S | Цвят: син"
1446;6430;;0;"Цвят: син | Размер: М"
1446;6431;;0;"Цвят: син | Размер: L"
1446;6432;;0;"Цвят: син | Размер: XL"
1446;6433;;0;"Цвят: син | Размер: 2XL"
1462;6546;;0;"Размер: S | Цвят: бял"
1462;6547;;0;"Размер: М | Цвят: бял"
1462;6548;;0;"Размер: L | Цвят: бял"
1462;6549;;0;"Размер: XL | Цвят: бял"
1462;6550;;0;"Цвят: бял | Размер: 2XL"
1465;6561;;0;"Размер: S | Цвят: черен"
1482;6649;;0;"Размер: S | Цвят: черен"
1482;6650;;0;"Размер: М | Цвят: черен"
1482;6651;;0;"Цвят: черен | Размер: L"
1482;6652;;0;"Цвят: черен | Размер: XL"
1482;6653;;0;"Размер: 2XL | Цвят: черен"
1483;6654;;0;"Цвят: бял | Размер: S"
1483;6655;;0;"Цвят: бял | Размер: М"
1483;6656;;0;"Размер: L | Цвят: бял"
1483;6657;;0;"Размер: XL | Цвят: бял"
1483;6658;;0;"Размер: 2XL | Цвят: бял"
1485;6659;;0;"Цвят: черен | Размер: S"
1485;6660;;0;"Цвят: черен | Размер: М"
1485;6661;;0;"Размер: L | Цвят: черен"
1485;6662;;0;"Размер: XL | Цвят: черен"
1485;6663;;0;"Размер: 2XL | Цвят: черен"
1486;6664;;0;"Цвят: черен | Размер: S"
1486;6665;;0;"Цвят: черен | Размер: М"
1486;6666;;0;"Цвят: черен | Размер: L"
1486;6667;;0;"Цвят: черен | Размер: XL"
1486;6668;;0;"Цвят: черен | Размер: 2XL"
1487;6669;;0;"Размер: S | Цвят: бял"
1487;6670;;0;"Размер: М | Цвят: бял"
1487;6671;;0;"Цвят: бял | Размер: L"
1487;6672;;0;"Цвят: бял | Размер: XL"
1487;6673;;0;"Цвят: бял | Размер: 2XL"
1491;6689;;0;"Размер: S | Цвят: черен"
1491;6690;;0;"Размер: М | Цвят: черен"
1491;6691;;0;"Размер: L | Цвят: черен"
1491;6692;;0;"Размер: XL | Цвят: черен"
1491;6693;;1;"Цвят: черен | Размер: 2XL"
1494;6704;;0;"Цвят: черен | Размер: S"
1494;6705;;0;"Размер: М | Цвят: черен"
1494;6706;;0;"Цвят: черен | Размер: L"
1494;6707;;0;"Цвят: черен | Размер: XL"
1494;6708;;0;"Цвят: черен | Размер: 2XL"
1495;6709;;0;"Цвят: бял | Размер: S"
1495;6710;;0;"Размер: М | Цвят: бял"
1495;6711;;0;"Цвят: бял | Размер: L"
1495;6712;;0;"Размер: XL | Цвят: бял"
1495;6713;;0;"Цвят: бял | Размер: 2XL"
1496;6714;;0;"Размер: S | Цвят: черен"
1496;6715;;0;"Размер: М | Цвят: черен"
1496;6716;;0;"Цвят: черен | Размер: L"
1496;6717;;0;"Цвят: черен | Размер: XL"
1496;6718;;0;"Размер: 2XL | Цвят: черен"
1497;6719;;0;"Цвят: черен | Размер: S"
1497;6720;;0;"Цвят: черен | Размер: М"
1497;6721;;0;"Размер: L | Цвят: черен"
1497;6722;;0;"Размер: XL | Цвят: черен"
1497;6723;;0;"Размер: 2XL | Цвят: черен"
1498;6724;;0;"Цвят: бял | Размер: S"
1498;6725;;0;"Цвят: бял | Размер: М"
1498;6726;;0;"Размер: L | Цвят: бял"
1498;6727;;0;"Размер: XL | Цвят: бял"
1498;6728;;0;"Размер: 2XL | Цвят: бял"
1512;6791;;0;"Цвят: черен | Размер: S"
1512;6792;;1;"Цвят: черен | Размер: М"
1512;6793;;0;"Размер: L | Цвят: черен"
1512;6794;;0;"Размер: XL | Цвят: черен"
1512;6795;;0;"Размер: 2XL | Цвят: черен"
1513;6796;;0;"Размер: S | Цвят: бял"
1513;6797;;0;"Цвят: бял | Размер: М"
1513;6798;;0;"Размер: L | Цвят: бял"
1513;6799;;0;"Цвят: бял | Размер: XL"
1513;6800;;0;"Цвят: бял | Размер: 2XL"
1516;6811;;0;"Размер: S | Цвят: черен"
1516;6812;;0;"Размер: М | Цвят: черен"
1516;6813;;0;"Размер: L | Цвят: черен"
1516;6814;;0;"Цвят: черен | Размер: XL"
1516;6815;;0;"Цвят: черен | Размер: 2XL"
1524;6849;;0;"Размер: S | Цвят: бял"
1524;6850;;0;"Размер: М | Цвят: бял"
1524;6851;;0;"Цвят: бял | Размер: L"
1524;6852;;0;"Цвят: бял | Размер: XL"
1524;6853;;0;"Цвят: бял | Размер: 2XL"
1532;6903;;1;"Цвят: черен | Размер: S"
1532;6904;;1;"Размер: М | Цвят: черен"
1532;6905;;1;"Цвят: черен | Размер: L"
1532;6906;;1;"Цвят: черен | Размер: XL"
1532;6907;;1;"Цвят: черен | Размер: 2XL"
1535;6943;;0;"Цвят: черен | Размер: М"
1535;6944;;0;"Размер: L | Цвят: черен"
1535;6945;;0;"Размер: XL | Цвят: черен"
1535;6946;;0;"Размер: 2XL | Цвят: черен"
1535;6947;;0;"Цвят: черен | Размер: 3XL"
1539;6923;;0;"Размер: S | Цвят: бял"
1539;6924;;0;"Цвят: бял | Размер: М"
1539;6925;;0;"Цвят: бял | Размер: L"
1539;6926;;0;"Цвят: бял | Размер: XL"
1539;6927;;0;"Размер: 2XL | Цвят: бял"
1540;6928;;0;"Размер: S | Цвят: черен"
1540;6929;;0;"Цвят: черен | Размер: М"
1540;6930;;0;"Размер: L | Цвят: черен"
1540;6931;;0;"Размер: XL | Цвят: черен"
1540;6932;;0;"Размер: 2XL | Цвят: черен"
1543;6953;;0;"Цвят: черен | Размер: S"
1543;6954;;0;"Цвят: черен | Размер: М"
1543;6955;;0;"Размер: L | Цвят: черен"
1543;6956;;1;"Размер: XL | Цвят: черен"
1543;6957;;0;"Размер: 2XL | Цвят: черен"
1544;6958;;0;"Цвят: бял | Размер: S"
1544;6959;;0;"Цвят: бял | Размер: М"
1544;6960;;0;"Размер: L | Цвят: бял"
1544;6961;;0;"Размер: XL | Цвят: бял"
1544;6962;;1;"Цвят: бял | Размер: 2XL"
1545;7008;;1;"Размер: S | Цвят: черен"
1545;7009;;0;"Размер: М | Цвят: черен"
1545;7010;;0;"Размер: L | Цвят: черен"
1545;7011;;0;"Цвят: черен | Размер: XL"
1545;7012;;0;"Размер: 2XL | Цвят: черен"
1546;6963;;0;"Размер: S | Цвят: черен"
1546;6964;;0;"Размер: М | Цвят: черен"
1546;6965;;0;"Цвят: черен | Размер: L"
1546;6966;;0;"Цвят: черен | Размер: XL"
1546;6967;;0;"Цвят: черен | Размер: 2XL"
1547;6968;;0;"Размер: S | Цвят: черен"
1547;6969;;0;"Размер: М | Цвят: черен"
1547;6970;;0;"Цвят: черен | Размер: L"
1547;6971;;1;"Размер: XL | Цвят: черен"
1547;6972;;0;"Размер: 2XL | Цвят: черен"
1553;7003;;0;"Цвят: черен | Размер: S"
1553;7004;;0;"Цвят: черен | Размер: М"
1553;7005;;0;"Цвят: черен | Размер: L"
1553;7006;;0;"Цвят: черен | Размер: XL"
1553;7007;;0;"Цвят: черен | Размер: 2XL"
1574;7120;;0;"Цвят: черен | Размер: S"
1574;7121;;0;"Цвят: черен | Размер: М"
1574;7122;;0;"Размер: L | Цвят: черен"
1574;7123;;0;"Размер: XL | Цвят: черен"
1574;7124;;0;"Размер: 2XL | Цвят: черен"
1579;7146;;0;"Цвят: тъмнозелен | Размер: М"
1579;7147;;0;"Размер: L | Цвят: тъмнозелен"
1579;7148;;0;"Размер: XL | Цвят: тъмнозелен"
1579;7149;;0;"Размер: 2XL | Цвят: тъмнозелен"
1580;7150;;0;"Цвят: син | Размер: М"
